Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
,,,,,,,,,,,"NOTE","Hey, if you're at this stage of the video, you must be enjoying it... perhaps you could hit subscribe now? :)"
2026-06-11,06:29:12,Bybit,BTCUSDT,,,62857.40,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-06-11,14:08:57,Bybit,BTCUSDT,vwap_rsi3_ema8,BUY,0.000794,62971.7000,50.00,0.0500,LIVE-SPOT,"BULLISH — price>VWAP, price≈EMA8(-0.06%), RSI3=2.1≤30"
2026-06-11,14:11:59,Bybit,BTCUSDT,hermes_v03,BUY,0.000795,62855.5000,50.00,0.0500,LIVE,"EXIT_SL pnl=$50.00"
2026-06-11,14:12:01,Bybit,BTCUSDT,vwap_rsi3_ema8,BUY,0.079547,62855.7000,5000.00,5.0000,LIVE-SPOT,"BULLISH — price>VWAP, price≈EMA8(-0.17%), RSI3=1.9≤30"
2026-06-11,14:22:55,Bybit,SOLUSDT,vwap_rsi3_ema8,BUY,76.710647,65.1800,5000.00,5.0000,LIVE-SPOT,"BULLISH — price>VWAP, price≈EMA8(-0.14%), RSI3=28.6≤30"
2026-06-11,14:37:09,Bybit,ETHUSDT,vwap_rsi3_ema8,BUY,3.024566,1653.1300,5000.00,5.0000,LIVE-SPOT,"BULLISH — price>VWAP, price≈EMA8(-0.09%), RSI3=10.7≤30"
2026-06-11,14:50:56,Bybit,BTCUSDT,vwap_rsi3_ema8,SELL,0.079435,62944.6000,5000.00,5.0000,LIVE-SPOT,"EXIT_rsi3_cross_50 pnl=$7.07"
2026-06-11,14:59:27,Bybit,ETHUSDT,vwap_rsi3_ema8,SELL,3.042010,1643.6500,5000.00,5.0000,LIVE-SPOT,"EXIT_stop_loss pnl=$-28.67"
2026-06-11,15:10:54,Bybit,SOLUSDT,vwap_rsi3_ema8,SELL,76.487685,65.3700,5000.00,5.0000,LIVE-SPOT,"EXIT_rsi3_cross_50 pnl=$14.58"
2026-06-13,03:00:32,Bybit,BTCUSDT,vwap_rsi3_ema8,SELL,0.078531,63668.9000,5000.00,5.0000,LIVE-SPOT,"BEARISH — price<VWAP, price≈EMA8(0.01%), RSI3=100.0≥70"
2026-06-13,03:28:06,Bybit,BTCUSDT,vwap_rsi3_ema8,SELL,0.078778,63469.4000,5000.00,5.0000,LIVE-SPOT,"EXIT_stop_loss pnl=$-15.67"
2026-06-13,03:33:05,Bybit,NEARUSDT,vwap_rsi3_ema8,BUY,2482.621648,2.0140,5000.00,5.0000,LIVE-SPOT,"BULLISH — price>VWAP, price≈EMA8(-0.12%), RSI3=26.7≤30"
2026-06-13,03:39:05,Bybit,NEARUSDT,vwap_rsi3_ema8,SELL,2480.158730,2.0160,5000.00,5.0000,LIVE-SPOT,"EXIT_rsi3_cross_50 pnl=$4.97"
2026-06-13,03:45:05,Bybit,NEARUSDT,vwap_rsi3_ema8,BUY,2481.389578,2.0150,5000.00,5.0000,LIVE-SPOT,"BULLISH — price>VWAP, price≈EMA8(-0.07%), RSI3=0.0≤30"
2026-06-13,03:55:55,Bybit,NEARUSDT,vwap_rsi3_ema8,SELL,2475.247525,2.0200,5000.00,5.0000,LIVE-SPOT,"EXIT_rsi3_cross_50 pnl=$12.41"
2026-06-13,07:05:56,Bybit,SOLUSDT,vwap_rsi3_ema8,BUY,74.593466,67.0300,5000.00,5.0000,LIVE-SPOT,"BULLISH — price>VWAP, price≈EMA8(0.02%), RSI3=0.0≤15"
2026-06-13,07:15:56,Bybit,SOLUSDT,vwap_rsi3_ema8,SELL,74.526755,67.0900,5000.00,5.0000,LIVE-SPOT,"EXIT_rsi3_cross_65 pnl=$-5.52"
